clase;edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;1;0;1;61;61;4;0;5;8;5;0
F;0;0;5;0;0;0;0;0;0;0;9;8;5;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;1;1;0;0;0;0;0;0
T;0;1;19;1;5;413;40;39;7;50;15;4;0;3
T;0;1;6;1;7;7;6;6;3;0;8;2;0;6
T;0;0;9;1;3;60;15;15;0;19;15;1;0;2
F;0;0;0;0;0;0;1;1;1;0;0;0;0;0
F;1;0;1;0;0;19;1;1;1;18;1;0;0;0
T;0;0;0;0;0;0;8;8;1;0;5;1;1;0
F;0;0;2;0;1;1;2;2;0;0;1;2;0;1
T;0;0;1;0;0;1;14;14;2;0;1;2;1;0
T;0;1;1;1;0;1;8;9;2;0;13;0;0;0
T;0;0;2;1;0;1;24;24;2;0;4;1;0;0
T;0;0;10;1;2;3;7;7;2;0;24;5;5;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;4;2;2;11;11;1;0;19;5;4;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;16;0;6;24;0;0;0;10;26;3;4;3
F;0;0;0;0;0;0;6;6;0;0;0;0;0;0
T;0;0;7;0;3;6;67;67;3;0;4;4;0;2
T;0;1;8;2;9;12;32;32;0;1;7;1;0;1
F;0;1;0;0;0;0;3;3;0;0;0;0;0;0
F;0;0;7;0;4;4;0;0;0;0;9;5;3;0
T;0;0;27;0;24;85;10;10;1;50;14;1;0;8
T;0;0;5;1;6;22;18;17;1;16;30;2;2;0
F;0;0;2;0;0;0;43;43;0;0;5;2;0;0
F;0;0;0;0;0;0;2;2;0;0;0;0;0;0
T;1;0;15;1;8;63;8;8;0;19;23;1;0;4
T;0;0;1;1;1;1;14;14;2;0;0;1;0;0
F;0;0;2;0;1;4;4;4;0;0;4;1;0;1
T;0;0;1;3;4;4;36;36;2;0;90;5;5;1
T;0;0;7;0;1;2;52;52;3;0;14;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;6;2;4;9;50;49;0;5;12;3;1;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;26;26;4;0;28;5;2;0
F;0;1;5;0;4;12;16;16;0;8;0;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;9;0;4;19;1;1;0;6;0;5;1;3
T;0;1;18;1;7;12;22;22;5;1;36;6;2;3
T;0;0;4;1;1;8;13;13;0;1;1;0;0;1
F;0;0;0;0;0;0;16;16;0;0;2;0;0;0
F;0;0;1;0;1;1;3;3;1;0;14;3;1;0
T;2;4;76;0;73;123;75;75;8;39;165;4;4;6
T;0;0;11;2;3;7;30;30;0;0;2;4;1;2
T;0;1;26;2;6;22;45;45;7;12;56;4;0;0
T;0;0;26;1;41;802;16;16;1;38;36;0;1;1
F;1;1;1;0;0;0;0;0;0;0;1;0;0;0
T;0;0;5;1;0;15;35;35;4;11;35;4;0;0
T;0;0;9;1;2;15;26;26;1;3;37;0;0;1
T;1;0;0;0;0;0;8;8;4;0;0;2;1;0
F;0;0;0;0;0;0;7;7;2;0;1;0;0;0
T;0;0;9;1;3;16;30;30;3;3;13;3;1;3
T;0;0;4;0;4;5;24;24;0;0;0;1;0;2
T;0;0;8;0;0;12;66;66;7;10;5;2;0;0
T;0;0;14;0;9;99;39;39;7;86;6;1;5;2
F;0;0;5;0;13;528;6;6;1;29;7;0;0;0
F;0;0;0;0;0;0;0;0;0;0;15;0;0;0
T;1;0;5;0;0;2;52;48;2;0;12;20;4;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;2;1;2;4;13;13;1;1;0;3;0;1
F;0;0;7;0;7;28;13;13;1;21;1;9;7;1
F;0;0;0;0;0;0;58;25;8;0;12;4;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;8;1;11;50;44;45;2;8;13;6;1;1
T;0;0;13;7;5;73;67;67;8;32;4;20;10;3
F;0;1;0;0;0;0;4;4;3;0;6;0;0;0
F;0;0;2;0;2;6;0;0;0;2;0;1;0;0
F;0;0;4;0;16;22;3;3;0;6;0;1;1;1
T;0;0;2;1;0;0;24;20;0;0;2;3;0;0
T;0;0;15;1;14;197;45;45;1;26;48;5;1;8
T;0;0;10;0;2;116;8;8;0;100;12;0;0;1
F;0;0;0;0;0;0;1;1;1;0;0;0;0;0
F;0;0;5;0;1;3;26;26;1;2;51;4;1;0
T;0;0;1;1;0;0;52;52;3;0;2;2;1;0
T;0;1;8;0;10;15;19;19;7;2;28;7;0;3
F;0;0;2;1;2;2;28;28;2;0;1;5;4;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;1;12;1;0;105;36;36;3;0;44;0;0;0
F;0;0;0;0;0;0;1;1;0;0;0;0;0;0
T;0;0;9;1;11;40;15;15;0;0;12;2;2;5
F;0;0;1;0;1;1;5;5;0;0;0;0;0;1
T;0;0;0;0;0;0;38;38;5;0;0;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;1;0;1;10;10;4;0;37;0;0;0
F;0;0;4;0;1;2;2;2;0;0;7;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;4;0;6;15;5;5;1;9;6;0;0;0
F;0;0;0;0;0;0;29;29;1;0;8;0;0;0
T;0;2;44;1;30;77;43;43;3;42;99;4;4;9
F;0;0;2;0;0;2;0;0;0;0;11;0;0;0
T;1;2;11;1;6;25;8;8;5;13;20;3;3;3
T;0;0;21;1;25;76;27;27;3;40;13;3;2;11
T;2;0;8;2;73;140;10;10;2;93;7;5;1;2
T;1;1;12;1;73;95;29;29;0;45;1;6;1;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;1;4;0;2;3;2;2;0;0;2;1;0;1
T;0;0;19;0;22;54;8;8;0;37;17;0;0;4
T;2;2;2;4;0;2;29;29;6;0;50;6;2;0
F;0;0;4;0;0;16;30;31;3;14;52;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;1;46;1;28;319;61;61;2;60;14;3;4;15
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;6;0;6;11;7;7;1;2;11;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;3;3;3;0;4;0;0;0
T;0;9;2;2;0;1;22;21;3;0;71;1;0;0
F;0;0;1;0;1;1;2;2;0;0;8;0;0;1
T;1;1;3;1;1;2;7;7;0;0;10;1;1;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;0;0;0;8;8;0;0;0;0;0;0
T;0;0;7;3;2;9;25;24;2;3;24;7;3;1
T;0;0;0;0;0;0;30;30;2;0;1;0;0;0
F;0;0;0;0;0;0;2;2;0;0;0;0;0;0
T;2;0;7;0;11;33;31;31;0;0;2;0;0;4
F;0;0;4;0;0;0;29;29;1;0;9;6;0;0
T;0;0;0;1;0;0;17;17;8;0;2;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;1;1;0;0;1;3;3;1;0;1;0;0;0
T;0;0;5;1;0;2;9;9;1;0;6;2;1;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;1;2;1;41;55;15;15;0;21;0;1;0;0
T;2;0;26;0;12;377;10;10;4;35;73;4;3;8
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;6;1;1;23;58;58;2;18;13;2;0;1
F;0;1;2;0;2;2;4;4;1;0;9;0;0;1
T;0;0;8;1;1;3;8;8;0;0;4;3;0;0
T;0;0;14;1;12;46;22;22;2;13;38;0;0;7
T;0;0;1;0;1;1;10;10;5;0;6;0;0;1
F;0;0;1;0;0;8;1;1;0;7;0;0;0;0
T;0;0;5;1;2;4;12;12;0;0;3;5;0;2
T;0;1;2;0;0;0;20;20;1;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;0;19;2;50;281;80;80;0;129;67;0;0;5
T;0;0;5;1;7;13;14;14;3;7;10;2;1;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;3;0;1;1;0;0;0;0;10;0;0;0
T;0;1;3;0;2;3;9;9;6;0;0;3;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;1;0;2;0;0;0;6;6;0;0;3;1;0;0
T;0;1;3;0;0;2;19;19;3;1;9;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;9;1;43;67;56;53;1;17;23;4;1;2
F;0;0;6;0;1;7;8;8;1;3;1;1;0;1
F;0;0;13;0;18;286;12;12;0;25;17;6;1;3
F;0;0;1;0;0;1;0;0;0;0;1;0;0;0
T;2;0;10;0;6;11;15;15;3;3;8;2;2;2
T;0;1;0;1;0;0;29;29;0;0;11;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;6;4;0;1;41;41;3;0;29;1;3;0
F;0;0;0;0;0;0;5;5;1;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;0;23;1;33;136;33;33;3;49;60;2;0;15
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;3;2;2;24;22;22;2;0;15;6;3;0
T;0;0;2;1;3;3;10;10;4;0;7;2;3;0
T;0;0;31;1;140;465;52;52;11;30;31;1;0;4
T;0;0;1;1;0;0;28;28;7;0;4;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;20;20;0;0;0;0;0;0
F;0;0;2;0;1;4;2;2;3;1;4;2;0;1
T;0;0;20;0;8;51;48;48;7;32;0;8;2;3
F;1;0;7;0;12;39;14;14;3;21;3;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;18;1;26;49;11;11;2;10;24;14;1;5
T;0;0;2;1;0;0;24;24;0;0;4;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;2;3;0;1;3;3;3;0;0;13;1;0;1
T;0;1;3;0;1;2;11;11;9;0;0;4;0;0
F;0;0;0;0;0;0;0;0;0;0;11;0;0;0
T;1;0;32;1;21;125;14;14;9;15;43;4;0;17
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;3;3;0;0;0;0;0;0
T;0;1;4;1;2;4;7;7;6;2;12;3;1;1
F;0;0;4;0;0;0;78;78;1;0;0;0;0;0
T;0;0;0;1;0;0;10;10;5;0;2;1;0;0
T;0;0;18;1;47;88;33;33;12;47;12;2;0;5
T;0;0;0;1;0;0;36;36;3;0;5;12;9;0
T;2;0;27;3;21;111;17;17;7;61;75;4;1;9
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;5;1;1;44;57;57;9;7;4;3;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;1;1;11;11;1;0;1;0;1;0
F;1;0;1;0;0;0;0;0;0;0;0;0;0;0
T;1;1;21;0;4;290;96;96;0;9;23;0;3;0
T;0;1;23;1;5;13;13;13;4;7;50;4;3;1
F;0;0;17;0;4;11;2;2;1;3;49;1;0;1
F;0;0;7;0;5;15;7;7;1;9;10;2;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;13;5;20;38;57;57;4;12;28;7;2;4
F;0;1;3;0;2;2;2;2;2;0;1;0;0;1
F;0;0;9;0;2;10;25;25;2;0;11;2;0;0
T;0;2;9;1;0;12;9;9;1;0;26;3;0;0
T;1;0;5;0;0;5;16;16;8;3;10;1;0;0
T;0;1;17;0;24;44;22;22;4;22;37;0;0;8
F;0;0;2;0;0;3;0;0;0;2;8;0;0;0
F;0;0;6;0;1;11;0;0;0;8;54;0;0;0
T;1;0;13;2;6;27;19;19;1;15;33;1;5;6
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;14;0;12;78;18;18;5;63;25;8;1;6
T;1;0;15;0;21;473;41;41;0;17;25;1;0;4
F;0;0;2;0;0;0;3;3;0;0;2;4;0;0
F;0;0;22;0;3;5;20;20;1;0;68;0;3;0
F;0;0;2;0;29;38;11;11;2;10;1;0;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;1;2;0;0;0;8;8;1;0;0;0;0;0
F;0;0;4;0;1;3;0;0;0;0;4;0;0;0
F;0;0;0;0;0;0;1;1;1;0;0;0;0;0
F;0;0;4;0;6;15;13;13;5;15;1;5;1;1
T;0;0;2;1;0;0;25;25;2;0;20;1;3;0
F;0;0;1;0;1;54;4;4;2;1;0;0;0;0
F;0;0;1;0;1;1;0;0;0;0;0;0;0;1
T;0;1;5;0;5;53;21;21;0;47;4;0;0;2
T;0;1;11;0;127;1142;13;13;2;148;10;0;0;5
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;0;1;0;0;0;0;3;3;0;0
F;0;0;0;0;0;0;2;2;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;0;1;0;0;19;19;3;0;0;4;3;0
F;0;0;1;0;0;0;0;0;0;0;2;0;0;0
T;0;0;1;1;0;0;41;41;3;1;0;1;0;0
F;0;0;0;0;0;0;0;0;0;0;3;0;0;0
T;0;0;1;1;0;0;6;7;0;0;0;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;10;0;3;8;23;23;0;0;27;0;0;0
F;0;0;1;0;0;0;0;0;0;0;0;0;0;0
T;0;2;12;0;12;24;14;14;2;6;6;7;6;4
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;7;2;6;19;17;17;1;8;2;10;4;2
T;0;0;13;0;6;10;70;70;4;1;22;10;3;5
T;0;1;5;0;3;5;7;7;1;0;3;1;0;2
F;0;0;4;0;5;8;2;2;0;2;8;0;0;0
T;0;0;1;8;0;0;11;11;2;0;4;1;0;0
F;0;0;2;3;1;16;22;22;0;12;1;3;2;0
T;0;2;32;1;16;46;12;12;5;23;7;13;8;10
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;2;0;16;19;0;0;0;6;11;0;0;1
F;0;0;4;0;3;3;6;6;2;0;3;0;0;3
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;2;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;1;1;0;4;5;2;2;3;1;0;0;0;0
F;0;2;13;0;20;42;22;22;1;18;28;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;5;0;0;3;9;9;4;0;2;1;0;0
F;0;0;2;0;1;2;8;8;0;0;3;3;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;2;2;2;0;1;0;0;0
F;0;0;7;0;1;8;23;23;1;2;13;3;0;0
T;0;0;16;0;18;1441;25;25;4;34;7;0;0;6
F;0;0;1;0;0;1;6;6;1;0;26;0;0;0
F;0;0;0;0;0;0;1;1;1;0;0;0;0;0
T;0;1;9;0;1;3;8;8;1;0;15;3;0;0
T;0;1;10;2;8;330;26;26;0;25;5;2;1;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;0;0;0;7;7;1;0;0;1;0;0
F;0;0;0;0;0;0;0;0;0;0;7;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;3;0;1;4;10;10;5;1;2;3;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;1;0;8;0;3;8;6;6;1;5;27;1;2;2
F;1;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;8;0;5;8;22;22;0;2;7;0;0;1
T;0;1;12;1;1;5;30;30;6;1;45;5;5;0
T;0;0;0;2;0;0;20;20;0;0;4;1;0;0
F;0;0;1;0;0;0;43;43;3;0;0;1;0;0
F;0;0;2;0;1;2;0;0;0;0;2;0;0;0
T;0;0;9;1;6;10;36;35;6;1;11;2;0;4
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;14;1;3;41;49;49;0;37;61;2;3;0
T;0;0;19;1;21;56;20;20;4;27;8;2;1;5
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;0;0;0;45;45;1;0;1;0;0;0
T;0;0;9;2;14;45;36;36;8;31;20;5;3;2
F;1;0;0;0;0;0;1;1;0;0;1;0;0;0
T;0;0;6;5;2;3;51;50;2;1;12;1;0;2
T;0;0;0;1;0;0;16;16;3;0;1;0;0;0
F;0;0;1;0;1;9;3;3;1;0;2;0;0;0
T;0;0;36;1;28;236;73;73;5;27;28;31;14;12
T;0;0;0;0;0;0;14;14;4;0;3;0;0;0
F;2;1;9;1;13;46;11;11;1;13;28;6;5;4
T;0;0;9;1;2;3;22;22;0;0;6;3;1;0
T;3;4;7;1;0;0;30;30;4;0;50;1;6;0
T;1;1;30;0;38;304;102;102;2;13;25;20;6;10
T;0;2;23;0;6;114;24;24;0;21;22;4;2;4
T;0;0;10;0;4;16;21;21;1;4;2;1;0;3
T;0;0;7;1;6;15;18;19;1;8;12;2;2;4
F;0;0;1;0;0;0;1;1;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;1;32;0;21;115;7;7;0;67;81;1;1;12
T;0;0;0;1;0;0;11;11;0;0;2;2;1;0
F;0;1;3;0;20;35;13;13;2;15;0;1;0;0
F;0;0;0;0;0;0;2;2;1;0;0;0;0;0
T;0;0;41;0;378;476;48;48;7;98;142;13;2;16
T;0;2;0;0;0;0;48;48;7;0;29;1;0;0
F;0;0;1;0;0;0;13;13;1;0;10;2;0;0
T;1;0;3;0;0;0;10;10;2;0;1;2;0;0
T;0;1;4;0;1;2;12;12;1;0;0;0;0;1
T;0;0;0;1;0;0;7;7;6;0;14;6;1;0
F;0;1;3;0;4;6;6;6;2;8;2;7;2;1
T;0;0;14;0;22;14670;11;11;3;29;14;0;1;3
F;0;0;0;0;0;0;0;0;0;0;2;0;0;0
T;0;1;0;4;0;0;11;11;7;0;0;11;8;0
F;0;0;16;3;4;12;8;8;2;4;53;1;0;4
T;0;0;1;1;0;0;7;7;0;0;1;2;1;0
T;0;0;25;1;20;934;57;57;6;58;32;0;0;8
T;0;0;0;1;0;0;11;11;6;0;2;1;0;0
F;0;1;4;0;1;2;3;3;0;0;1;0;0;1
T;0;0;11;1;10;16;35;35;10;3;9;1;0;4
T;2;2;12;1;102;185;58;58;8;99;14;3;0;4
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;2;0;8;11;0;0;0;3;9;1;3;3
F;1;0;2;0;1;2;0;0;0;0;1;0;0;1
F;0;0;2;0;0;1;0;0;0;0;21;0;1;0
F;0;0;1;0;0;1;4;4;3;0;4;0;0;0
F;0;0;2;0;0;1;8;8;8;0;1;0;0;0
T;0;1;6;1;7;14;18;18;11;0;9;2;0;2
F;0;0;2;0;0;0;2;2;0;0;7;0;0;0
T;0;0;1;1;0;0;53;53;3;0;31;5;1;0
T;0;0;0;0;0;0;21;21;3;0;1;1;0;0
T;0;0;11;0;14;59;84;83;0;42;7;1;0;3
T;0;1;17;1;8;35;17;17;3;16;42;3;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;18;18;5;0;12;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;1;6;175;38;38;2;16;6;5;3;0
F;0;1;12;0;14;22;6;6;2;14;23;2;1;2
F;0;0;1;0;1;1;3;3;3;0;0;0;0;1
F;0;0;15;0;9;36;25;25;3;8;29;1;0;7
F;0;0;6;0;21;34;7;7;2;3;55;0;0;9
T;2;0;24;0;17;41;44;44;27;9;20;10;2;7
T;0;0;5;8;32;54;16;16;0;24;8;9;6;2
T;0;0;0;4;0;0;16;16;7;0;3;2;2;0
F;0;0;1;0;0;0;0;0;0;0;0;0;0;0
F;0;0;4;0;1;2;0;0;0;0;8;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;2;3;0;1;3;4;4;1;0;11;0;0;0
T;1;1;2;0;0;69;17;17;0;1;0;3;1;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;1;6;0;1;61;51;51;10;13;23;3;0;0
T;0;0;8;2;34;65;16;16;2;31;5;1;0;1
T;0;1;6;2;4;18;40;40;2;10;12;2;1;2
T;0;1;3;1;3;8;65;65;6;1;0;1;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;2;0;2;4;0;0;0;0;1;0;0;0
T;0;1;1;2;1;1;36;36;2;0;1;1;2;0
F;0;0;1;0;0;1;0;0;0;0;7;0;1;0
T;0;1;0;5;0;0;7;7;0;0;5;0;0;0
T;0;0;4;1;7;8;32;32;0;1;43;5;1;3
F;0;1;0;2;0;0;30;30;6;0;41;3;3;0
T;0;0;31;1;24;71;23;23;3;30;64;15;10;11
F;0;0;5;0;6;14;36;36;1;10;11;0;1;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;3;1;11;20;9;9;0;18;1;2;1;1
T;1;0;6;0;57;82;31;31;7;28;1;5;1;0
T;0;0;11;1;1;2;39;39;0;0;18;4;2;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;1;2;0;1;1;3;3;0;0;12;0;0;1
T;1;0;4;0;0;1;44;44;12;0;18;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;1;2;0;0;1;32;32;4;0;4;1;0;0
T;0;1;17;0;4;20;44;44;0;1;45;8;0;3
T;0;0;0;1;0;0;8;8;2;0;14;3;5;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;0;11;0;7;165;35;35;3;30;64;1;1;7
T;0;0;0;2;0;0;24;24;5;0;0;1;0;0
T;0;1;9;1;24;706;34;34;7;65;3;2;1;6
